Row ID,Order ID,OrderDateKey,ShipDateKey,CustomerID,ProductID,GeoKey,ShipModeKey,Order Priority,Sales,Quantity,Discount,Profit,Shipping Cost,Ship Days
42433,AG-2011-2040,20110101,20110106,TB-11280,OFF-TEN-10000025,1,4,Medium,408.3,2,0.0,106.14,35.46,5
22253,IN-2011-47883,20110101,20110108,JH-15985,OFF-SU-10000618,2,4,Medium,120.366,3,0.1,36.036,9.72,7
48883,HU-2011-1220,20110101,20110105,AT-735,OFF-TEN-10001585,3,3,High,66.12,4,0.0,29.64,8.17,4
11731,IT-2011-3647632,20110101,20110105,EM-14140,OFF-PA-10001492,4,3,High,44.865,3,0.5,-26.055,4.82,4
22255,IN-2011-47883,20110101,20110108,JH-15985,FUR-FU-10003447,2,4,Medium,113.67,5,0.1,37.77,4.7,7
22254,IN-2011-47883,20110101,20110108,JH-15985,OFF-PA-10001968,2,4,Medium,55.242,2,0.1,15.342,1.8,7
21613,IN-2011-30733,20110201,20110203,PO-18865,TEC-CO-10002316,5,3,Critical,285.78,2,0.0,71.4,57.3,2
34662,CA-2011-115161,20110201,20110203,LC-17050,FUR-BO-10003966,6,1,High,290.666,2,0.15,3.4196,54.64,2
44508,AO-2011-1390,20110201,20110204,DK-3150,OFF-FEL-10001541,7,3,Critical,206.4,1,0.0,92.88,53.08,3
23688,ID-2011-56493,20110201,20110203,SP-20650,OFF-ST-10002161,8,3,Critical,162.72,3,0.0,68.31,44.36,2
25293,IN-2011-36074,20110201,20110205,DK-13150,OFF-AP-10001254,9,3,Medium,352.35,5,0.0,137.4,33.15,4
8483,US-2011-118892,20110201,20110206,DH-13075,OFF-AP-10002317,10,4,Medium,400.704,2,0.4,20.024,21.38,5
41445,IR-2011-6550,20110201,20110206,PO-8850,FUR-ADV-10002601,11,4,High,309.6,6,0.0,148.5,19.65,5
16727,ES-2011-5268439,20110201,20110203,GH-14485,OFF-AR-10001529,12,3,High,139.65,5,0.0,15.3,19.23,2
21615,IN-2011-30733,20110201,20110203,PO-18865,OFF-SU-10000484,5,3,Critical,40.68,3,0.0,11.79,11.13,2
8484,US-2011-118892,20110201,20110206,DH-13075,TEC-AC-10001221,10,4,Medium,81.984,2,0.4,-19.136,6.21,5
19796,ES-2011-5460465,20110201,20110205,RR-19315,OFF-AR-10000980,13,4,Medium,78.3,3,0.0,20.34,6.03,4
21614,IN-2011-30733,20110201,20110203,PO-18865,OFF-BI-10003012,5,3,Critical,22.65,5,0.0,9.6,5.29,2
21616,IN-2011-30733,20110201,20110203,PO-18865,OFF-LA-10001292,5,3,Critical,20.34,3,0.0,9.9,3.78,2
16726,ES-2011-5268439,20110201,20110203,GH-14485,OFF-EN-10004597,12,3,High,21.39,1,0.0,0.0,3.34,2
14413,ES-2011-2205486,20110201,20110207,IM-15055,OFF-BI-10001249,14,4,Medium,21.06,3,0.0,10.53,1.86,6
14414,ES-2011-2205486,20110201,20110207,IM-15055,OFF-BI-10001717,14,4,Medium,11.82,2,0.0,4.2,0.93,6
8482,US-2011-118892,20110201,20110206,DH-13075,OFF-BI-10000719,10,4,Medium,9.576,6,0.4,-0.984,0.81,5
44228,CA-2011-1800,20110301,20110304,TP-11415,OFF-FEL-10001405,15,1,High,551.16,4,0.0,71.64,164.36,3
13130,ES-2011-1705541,20110301,20110306,TS-21370,FUR-BO-10000259,16,4,High,1314.45,3,0.0,341.73,150.4,5
48599,UP-2011-3730,20110301,20110305,RD-9900,TEC-LOG-10003896,17,4,Medium,1470.78,6,0.0,264.6,146.55,4
15218,ES-2011-3893444,20110301,20110305,TB-21400,OFF-AP-10002568,18,4,High,364.416,8,0.2,45.456,80.67,4
37844,CA-2011-113880,20110301,20110305,VF-21715,FUR-CH-10000863,19,4,High,634.116,6,0.3,-172.1172,70.05,4
44230,CA-2011-1800,20110301,20110304,TP-11415,FUR-HAR-10001792,15,1,High,246.48,4,0.0,105.96,65.81,3
13131,ES-2011-1705541,20110301,20110306,TS-21370,FUR-CH-10002830,16,4,High,704.55,5,0.0,288.75,64.4,5
48593,UP-2011-3730,20110301,20110305,RD-9900,OFF-FEL-10002867,17,4,Medium,1244.16,6,0.0,211.5,60.78,4
21917,IN-2011-59986,20110301,20110303,KH-16360,TEC-MA-10002520,20,1,High,214.758,2,0.1,7.158,55.67,2
31454,CA-2011-104269,20110301,20110306,DB-13060,FUR-CH-10004063,21,3,Medium,457.568,2,0.2,51.4764,47.89,5
48595,UP-2011-3730,20110301,20110305,RD-9900,TEC-SHA-10004874,17,4,Medium,587.7,2,0.0,123.36,42.88,4
39607,CA-2011-168312,20110301,20110307,GW-14605,FUR-TA-10001866,22,4,Medium,376.509,3,0.3,-43.0296,32.7,6
13132,ES-2011-1705541,20110301,20110306,TS-21370,OFF-AR-10004151,16,4,High,194.64,4,0.0,34.92,25.39,5
39245,CA-2011-131009,20110301,20110305,SC-20380,FUR-CH-10001270,23,4,Medium,362.25,6,0.3,0.0,25.22,4
44502,UP-2011-3090,20110301,20110301,BS-1800,FUR-HON-10002424,24,2,Medium,162.84,2,0.0,76.5,24.42,0
44503,UP-2011-3090,20110301,20110301,BS-1800,OFF-FEL-10002897,24,2,Medium,115.74,2,0.0,30.06,19.52,0
44229,CA-2011-1800,20110301,20110304,TP-11415,TEC-APP-10004912,15,1,High,493.2,4,0.0,123.24,18.19,3
14536,ES-2011-1517387,20110301,20110308,CM-12235,OFF-AR-10001418,25,4,Low,106.8,4,0.0,29.88,16.48,7
48597,UP-2011-3730,20110301,20110305,RD-9900,TEC-KON-10002194,17,4,Medium,266.25,1,0.0,79.86,16.22,4
21443,IN-2011-56738,20110301,20110305,RF-19345,FUR-FU-10002210,26,4,Medium,351.75,7,0.0,59.64,15.91,4
26925,IN-2011-26946,20110301,20110306,LH-17155,FUR-CH-10001465,27,4,Medium,238.929,2,0.27,62.169,15.01,5
26926,IN-2011-26946,20110301,20110306,LH-17155,OFF-EN-10004495,27,4,Medium,109.1853,9,0.47,-74.4147,14.58,5
11106,ES-2011-2010166,20110301,20110305,LO-17170,TEC-AC-10004791,18,4,Medium,151.362,2,0.1,-5.058,14.22,4
30176,ID-2011-50144,20110301,20110305,LH-17155,TEC-PH-10001619,28,4,High,91.872,1,0.4,-45.948,13.96,4
48591,UP-2011-3730,20110301,20110305,RD-9900,FUR-SAF-10004530,17,4,Medium,196.74,1,0.0,86.55,12.33,4
15219,ES-2011-3893444,20110301,20110305,TB-21400,OFF-ST-10000875,18,4,High,117.504,3,0.2,36.684,11.43,4
39606,CA-2011-168312,20110301,20110307,GW-14605,OFF-ST-10003692,22,4,Medium,137.352,3,0.2,8.5845,8.49,6
44501,UP-2011-3090,20110301,20110301,BS-1800,OFF-STA-10000298,24,2,Medium,98.94,2,0.0,15.78,8.42,0
15220,ES-2011-3893444,20110301,20110305,TB-21400,OFF-ST-10000988,18,4,High,63.36,3,0.2,23.76,8.22,4
39247,CA-2011-131009,20110301,20110305,SC-20380,OFF-ST-10001469,23,4,Medium,129.552,3,0.2,-22.6716,8.0,4
39246,CA-2011-131009,20110301,20110305,SC-20380,FUR-FU-10001095,23,4,Medium,63.552,6,0.6,-34.9536,7.38,4
48594,UP-2011-3730,20110301,20110305,RD-9900,TEC-STA-10004927,17,4,Medium,221.16,2,0.0,15.48,6.87,4
