country,movie_count
United States,968
India,362
United Kingdom,177
France,131
Canada,116
Spain,106
Germany,58
Mexico,56
China,54
Argentina,46
Belgium,43
South Korea,35
Australia,35
Japan,33
Brazil,33
Nigeria,31
Turkey,31
Philippines,30
Indonesia,30
Italy,28
Hong Kong,25
Netherlands,24
Egypt,22
South Africa,18
Chile,16
Pakistan,16
Ireland,15
United Arab Emirates,14
Israel,12
Denmark,11
Singapore,11
Thailand,11
Sweden,11
Malaysia,10
Colombia,10
Poland,10
Switzerland,9
New Zealand,8
Norway,7
Bulgaria,7
Austria,6
Taiwan,6
Peru,6
Serbia,5
Luxembourg,5
Romania,5
Iceland,5
Uruguay,5
Qatar,5
Morocco,4
Czech Republic,4
Hungary,4
Jordan,4
Vietnam,3
Russia,3
Portugal,3
Iran,3
Cambodia,3
Slovenia,3
Finland,2
Ghana,2
Dominican Republic,2
Bangladesh,2
Nepal,2
Croatia,2
Greece,2
Senegal,1
Malawi,1
Cayman Islands,1
Albania,1
Paraguay,1
Vatican City,1
Venezuela,1
Guatemala,1
Somalia,1
Kenya,1
Sudan,1
Georgia,1
Saudi Arabia,1
Slovakia,1
Latvia,1
Afghanistan,1
Iraq,1
Panama,1
Montenegro,1
Lebanon,1
Nicaragua,1
